Jira URL,Summary,Status,BoD Report,ARC Review Status,Fast Track,Updated,ISA or NON-ISA?,GitHub,Baseline Ratification Quarter,Target Ratification Quarter,Ratification Progress,Previous Ratification Progress
https://riscv.atlassian.net/browse/RVS-3933,Instruction/Data Coherence and Consistency Extension (Ziccid),Specification in Publication,No,Approved,Yes,2026-05-05T11:30:22.085-0700,ISA,https://github.com/riscv/riscv-isa-manual/pull/2598,26Q2,26Q2,On Track,On Track
https://riscv.atlassian.net/browse/RVS-1930,Integrated Matrix Extension (IME),Specification Under Stabilization,Yes,,No,2026-04-30T06:37:59.669-0700,ISA,https://github.com/riscv/integrated-matrix-extension,26Q3,26Q4,On Track,Exposed
https://riscv.atlassian.net/browse/RVS-3131,Self-hosted Trace,Specification in Planning,No,,No,2026-04-30T06:37:46.310-0700,ISA,https://github.com/riscv/self-hosted-trace,Not Set Yet,Not Set Yet,Not Set Yet,On Track
https://riscv.atlassian.net/browse/RVS-4171,RHTI trcstate Extension,Specification Under Development,No,,Yes,2026-04-28T04:40:02.849-0700,NON-ISA,https://github.com/riscv-non-isa/hart-trace-interface,Not Set Yet,Not Set Yet,Not Set Yet,Not Set Yet
https://riscv.atlassian.net/browse/RVS-1790,Attached Matrix Extension (AME),Specification in Planning,Yes,,No,2026-04-26T23:38:24.160-0700,ISA,https://github.com/riscv/riscv-riscv-ame,Not Set Yet,27Q1,Not Set Yet,Not Set Yet
https://riscv.atlassian.net/browse/RVS-3896,Integer Vector Absolute Difference (Zvabd),Specification in Freeze,No,Not Started,Yes,2026-04-26T23:38:18.558-0700,ISA,https://github.com/riscv/integer-vector-absolute-difference,26Q2,26Q3,On Track,On Track
https://riscv.atlassian.net/browse/RVS-1915,Extra Vector Carry-Less/Crypto Extensions,Specification in Freeze,No,AR Approved,Yes,2026-04-26T23:38:15.995-0700,ISA,https://github.com/riscv/riscv-isa-manual/pull/2369,24Q4,26Q3,On Track,Exposed
https://riscv.atlassian.net/browse/RVS-3828,Branch with Immediate (Zibi),Specification in Freeze,No,Approval In Progress,Yes,2026-04-21T18:50:45.909-0700,ISA,https://github.com/riscv/zibi,26Q2,26Q3,On Track,On Track
https://riscv.atlassian.net/browse/RVS-1153,Security Model,Specification in Freeze,Yes,Approval In Progress,No,2026-04-21T18:27:11.523-0700,NON-ISA,https://github.com/riscv-non-isa/riscv-security-model,24Q4,26Q3,On Track,On Track
https://riscv.atlassian.net/browse/RVS-1345,Supervisor Domains Access Protection (Smmtt),Specification in Freeze,Yes,Approval In Progress,No,2026-04-21T18:27:10.779-0700,ISA,https://github.com/riscv/riscv-smmtt,25Q2,26Q3,On Track,On Track
https://riscv.atlassian.net/browse/RVS-1618,Confidential VM Extension (CoVE) with I/O,Specification in Freeze,No,Not Started,No,2026-04-21T18:27:09.208-0700,NON-ISA,https://github.com/riscv-non-isa/riscv-ap-tee-io,24Q3,26Q3,Exposed,On Track
https://riscv.atlassian.net/browse/RVS-1906,Confidential VM Extension (CoVE),Specification in Freeze,Yes,Under AR Review,No,2026-04-21T18:27:07.654-0700,NON-ISA,https://github.com/riscv-non-isa/riscv-ap-tee,24Q4,26Q3,On Track,On Track
https://riscv.atlassian.net/browse/RVS-3748,Additional BF16 and Minimal OFP8 Vector Compute Support (Zvfbfa and Zvfofp8min),Specification in Freeze,No,Approved,Yes,2026-04-21T18:02:53.847-0700,ISA,https://github.com/aswaterman/riscv-misc/tree/main/isa,26Q2,26Q3,On Track,On Track
